id,name
285,Twenty-First Century Books (CT)
286,Plume (Penguin Books Ltd)
287,Civitas Books
288,Bloomsbury Children's Books
289,Time Life Books
290,Children's Classics
291,Anchor Books/Knopf Doubleday Publishing Group
292,Harpercollins Childrens Books
293,Possibilities
294,Walter Foster Publishing
295,Penguin Books (London)
296,Digital Manga Publishing / Dark Horse
297,Frederick P. Lenz Foundation for American Buddhism
298,Harper Business
299,The New Press
300,Wayne State University Press
301,Dalkey Archive Press
302,St. Martin's True Crime
303,Bantam
304,Paulist Press
305,Babel
306,Jove Books
307,Peter Owen Ltd
308,HarperCollins Publishers  Inc.
309,Sticker Design (DC Comics)
310,McClelland and Stewart
311,Roxford Books
312,Springer
313,Stenhouse Publishers
314,Penguin Young Readers
315,Addison-Wesley Professional
316,Philomel Books
317,Grijalbo Mondadori Sa
318,Hub City Press
319,Listening Library (Audio)
320,Abrams
321,McGraw-Hill Science/Engineering/Math
322,Owl Books (Henry Holt)
323,St. Martin's Griffin
324,Macmillan Publ. Co.
325,Simon & Schuster Childrens Books
326,Pavilion Press (Wi)
327,Emecé Editores
328,Jump At The Sun
329,Del Rey Ballantine Random House
330,Sterling
331,Malhavoc Press
332,British Academy
333,Piper Taschenbuch
334,Stanford University Press
335,Whitaker House
336,DK Children
337,Chartwell Books
338,Vintage Contemporaries
339,Anchor Canada
340,Berlitz Kids
341,Mestas Ediciones
342,TSR
343,Avalon Travel
344,Minotaur Books
345,Hampton Roads Publishing Company
346,Disney Enterprises
347,Macmillan Publishing Company/Collier Books
348,Penguin UK
349,Bragelonne
350,Tom Doherty Tor Fantasy
351,Express Publishing
352,Nonpareil Books
353,Hal Leonard Pub Corp
354,Recorded Books
355,Wiley Publishing
356,Bookclub-In-A-Box
357,Berkley Prime Crime Books
358,Arrow
359,Hamish Hamilton
360,K.G. Saur Verlag
361,Samuel French  Inc.
362,HarperTeen
363,Bertrand
364,Berkley Heat
365,Vanderbilt University Press
366,Delmar Thomson Learning
367,Sky Books (NY)
368,MIT Press
369,Fourth Estate (GB)
370,Island Press
371,Phoenix Audio
372,Points
373,A & C Black (Childrens books)
374,Vintage
375,Time-Life Books
376,William Heinemann Ltd.
377,Piatkus Books
378,Lectorum
379,Warner Books (NY)
380,Insel  Frankfurt
381,Puffin Audiobooks
382,MetroBooks (NY)
383,Schocken Books Inc
384,Hodder Audio
385,Other Press (NY)
386,New York : Penguin Books
387,Ash Tree Publishing
388,High Roads Media
389,Mills & Boon
390,Headline Review
391,Book Publishing Company (TN)
392,Dartmouth College Press
393,RP Minis
394,Teachers College Press
395,Barnes & Noble
396,W. W. Norton  Company
397,Éditions de Minuit
398,Editions 10/18
399,Webster's New World
400,HQN
401,Large Print Press
402,Ecco/Harper Perennial
403,Adventures Unlimited Press
404,Blood Moon Productions
405,Alpha
406,InterVarsity Press
407,Nicholas Brealey
408,Penguin Books Ltd. (London)
409,Random House for Young Readers
410,Pluto Press
411,Underwood/Miller  Berkley
412,Shambhala Publications
413,Nation Books
414,Liveright/W.W. Norton & Company  Inc.
415,Lawbook Exchange  Ltd.
416,EMC/Paradigm Publishing
417,Villard
418,Hyperion Paperbacks
419,Deutscher Taschenbuch Verlag
420,Harvard University Press (Cambridge)
421,Cavendish Square Publishing
422,Vivendi
423,Berkley Books (NY)
424,Shepard Publications
425,Thomas Nelson
426,Kabel  Verlag GmbH Ernst
427,University of Notre Dame Press
428,Digital Manga Publishing
429,Thames & Hudson
430,Feminist Press
431,Westview Press
432,American University in Cairo Press
433,Farrar  Straus and Giroux (NY)
434,PublicAffairs
435,University of Oklahoma Press
436,Piatkus
437,Hyperion Books for Children
438,Dark Horse
439,New Directions
440,Focus on the Family Publishing
441,Holloway House
442,Viking Adult
443,Steidl
444,Charnwood
445,The New York Review Children's Collection
446,Archie Comics
447,Plaza & Janes Editores Sa
448,Mirrorstone
449,Scholastic Nonfiction
450,Lyons Press
451,List Taschenbuch
452,Jones Books
453,Child's Play International
454,Harper Perennial Modern Classics
455,Prentice Hall/Simon & Schuster Company (Englewood Cliffs  NJ)
456,Grove Press (NYC)
457,Scholastic  Inc.
458,J'AI LU
459,Element
460,Crossroad Publishing Company
461,Del Rey
462,Helen Marx Books
463,Pan Books
464,Gramercy
465,Zebra
466,Taplinger Publishing
467,Alfaguara
468,RH Audio
469,DAW Books Inc
470,William Morrow; 1ST edition
471,William Morrow
472,Ace Books
473,East Bay Municipal Utility District
474,Bloomsbury Methuen Drama
475,Doubleday
476,A Harvest Book/Harcourt  Inc.
477,Disney Hyperion Books
478,東立
479,Fleming H. Revell Company
480,Faber & Faber
481,Free Spirit Publishing
482,HarperPrism
483,Haynes Manuals N. America  Inc.
484,Tantor Media
485,Wiley (TP)
486,Fantasy Flight Games
487,MIT Press (MA)
488,Paperback Library
489,House of Stratus
490,Marlowe & Company
491,List
492,Little Apple
493,Sounds True
494,Barnes & Noble Classics
495,Exact Change
496,University of Calgary Press
497,Viking Books
498,Avery
499,Orbit Books
500,Waterbrook Press
501,Red Dress Ink
502,Children's Press(CT)
503,Cybereditions Corp
504,Simon Publications
505,Van Patten Publishing
506,Geddes & Grosset
507,Alfabeta Bokförlag
508,Hackett Publishing Company (Indianapolis  IN)
509,Starcatcher Press
510,Vintage Classics
511,Penguin Books Ltd.
512,Fodor's
513,Jossey-Bass
514,Abingdon Press
515,MacMillan General Books
516,Regnery Publishing
517,Crown Publishers
518,Plaza & Janés
519,Broadway Books
520,Anchor Bible
521,Penguin
522,Night Shade Books
523,Black Lizard Books
524,Grosset & Dunlap
525,Aladdin Paperbacks
526,Neil Wilson Publishing
527,Cartwheel
528,University of Pittsburgh Press
529,Oberlin College Press
530,Mark Cahill Ministries
